row_index,id,file_name,source_dataset,task,output,valid_token_count,fbank_frames_before_pad
0,345526af-20c5-437b-8741-e197ac6511ed,XC693334-LS_58842%20Dusky-headed%20brushfinch%20song%20B.flac,Xeno-canto,taxonomic-classification,Chordata Aves Passeriformes Passerellidae Atlapetes fuscoolivaceus,505,998
1,e605b07a-87dd-4723-b812-f84b781c9583,XC126939-Tristram%27s_Starling_2.flac,Xeno-canto,species-sci-detection-hard,Onychognathus tristramii,505,998
2,61fc36ad-03d6-4171-97fe-5c67821ec6de,530.flac,WavCaps,wavcaps-qa,A tattoo gun.,489,968
3,67961220-1a93-4cce-84c6-cbe1bf6aa1bb,keyboard_electronic_023-032-100.wav,NatureLM,nsynth,keyboard,137,269
4,5bf599ed-dfa6-41c7-918b-ae6e2f8e4113,XC739803-LS_51498%20Yellow-eyed%20Black%20Flycatcher%20duet%20A.flac,Xeno-canto,family-detection,Muscicapidae,505,998
5,4d1f5da3-4aa7-4381-9949-f9d4ea9bc7fa,XC682803-5999-4004024-4438.flac,Xeno-canto,taxonomic-detection,"Chordata Aves Passeriformes Corvidae Pica pica, Chordata Aves Passeriformes Fringillidae Fringilla coelebs",505,998
6,a7f4feca-c0a2-4598-b8a1-c508590d0f31,XC717693-Willow%20Warbler%20%2B%20Wren_Song_Mizen%20Head_15.04.22_A%2B.flac,Xeno-canto,genus-detection,"Phylloscopus, Troglodytes",505,998
7,ba79dda8-f0de-4b2a-8947-c1e7feeb58c9,SSW_269_20170819_120014Z.016_007.wav,NatureLM,species-common-options-detection,None,505,998
8,3a5b71f7-0fda-4a9f-b693-0327aba0b306,SSW_055_20170325_060004Z.055_010.wav,NatureLM,species-common-simple-detection,None,505,998
9,3e92ca8d-18a6-48b2-84d9-e18b76078e72,SSW_039_20170311_110008Z.031_001.wav,NatureLM,species-sci-simple-detection,None,505,998
10,53030683-a00c-4303-92c8-5b104a41ad3c,9750402P.flac,Watkins,genus-detection,None,89,175
11,16eaecc1-b297-4dce-bfc4-c5ca0d7fa81d,20ta010j_2.0053_209c0108_-2.0053.wav,NatureLM,species-common-simple-detection,None,489,964
12,5781d7a0-80ea-4be6-9fd1-9f6be373528b,XC385115-T15.flac,Xeno-canto,species-common-multiple-detection,"Great Tit, Eurasian Blue Tit, Eurasian Collared-Dove, European Starling",505,998
13,b795d66d-a577-4b68-bdc1-810b5ff09052,NorthernParula1.flac,Xeno-canto,call-type,song,505,998
14,519199ae-1ece-451d-a8e7-16b393685585,256179.flac,iNaturalist,species-common-multiple-detection,Red-eyed Vireo,505,998
15,484018cf-99a4-4310-a58a-e24c1f9b8d5f,SSW_023_20170304_130010Z.036_009.wav,NatureLM,species-sci-options-detection,None,505,998
16,3035d7a6-e138-4057-baad-948b688a26d7,XC744361-Bachstelze%2C%20Gesang%20%209.4.2015%20%20Egelsee%2C%20Badesteg%20%20%E2%80%8F%E2%80%8E15_33_24%20VOC_150409-2357.flac,Xeno-canto,species-sci-detection-random,None,505,998
17,639d5440-7745-4fbf-943b-2393c1a84ddf,324452.flac,iNaturalist,genus-detection,Megascops,505,998
18,833701b2-b661-4fbd-868f-07dda09059bf,XC486056-Xiphocolaptes%20promerohyporhynchus.flac,Xeno-canto,caption-common,"Song, and flight call of a strong-billed woodcreeper",505,998
19,ac225d2d-bbcb-4f39-8b85-7916f5d8bb94,XC402294-sturnus%20unicolor%203%20chapatales%2024-09-2017.flac,Xeno-canto,species-common-detection-hard,Spotless Starling,505,998
20,60f1c1bf-2a2e-4c1e-8172-522d397fe80c,XC301952-160131_011%20CANG%20parvipes%204x.flac,Xeno-canto,species-common-classification-context,Canada Goose,313,620
21,b0e33146-8f91-4aad-b6d1-9fcd7e68e54c,mallet_acoustic_030-087-050.wav,NatureLM,nsynth,This sound is fast decaying.,201,398
22,9ad7750b-961c-4b95-b04c-2d69c8bce4d2,XC541270-Pied%20Currawong%2009_05_34.flac,Xeno-canto,species-sci-options-classification,Strepera graculina,505,998
23,5083d955-24a1-4232-97a5-37e945c676c7,XC360007-LS104552%20Black%20Magpie%20calls%20B.flac,Xeno-canto,species-sci-classification-context,Platysmurus aterrimus,505,998
24,12556fc5-c2b5-4020-81f4-c47d4c1466e0,XC688225-Goudvink%2020211021%201000%201a.flac,Xeno-canto,caption-scientific,"Subsong, call, and flight call of a pyrrhula pyrrhula with background sounds from acanthis flammea.",505,998
25,8dc6aec6-51c4-46f8-bb35-238eacb223aa,310057.flac,iNaturalist,species-common-classification,Laughing Kookaburra,345,686
26,b74d3698-d9ed-4c8c-8ab7-b0621a69de4e,XC682514-stenkn%C3%A4ck%20lock.flac,Xeno-canto,caption-common-structured,Call of a hawfinch sex: undetermined. life stage: uncertain.,97,188
